trial,tsetlin_number_of_clauses,tsetlin_T,tsetlin_s,tsetlin_states,tsetlin_max_target,tsetlin_min_target,min_epsilon,epsilon_decay,num_bins,log_bins
0,6000,20000000,2.5,8,300,0,0.01,0.0007,8,False
1,6000,30000000,2.5,8,300,0,0.01,0.0007,8,False
2,6000,40000000,2.5,8,300,0,0.01,0.0007,8,False
3,6000,50000000,2.5,8,300,0,0.01,0.0007,8,False
4,6000,20000000,2.5,8,300,0,0.008,0.0007,8,False
5,6000,30000000,2.5,8,300,0,0.008,0.0007,8,False
6,6000,40000000,2.5,8,300,0,0.008,0.0007,8,False
7,6000,50000000,2.5,8,300,0,0.008,0.0007,8,False
8,6000,20000000,2.5,8,300,0,0.004,0.0007,8,False
9,6000,30000000,2.5,8,300,0,0.004,0.0007,8,False
10,6000,40000000,2.5,8,300,0,0.004,0.0007,8,False
11,6000,50000000,2.5,8,300,0,0.004,0.0007,8,False
12,6000,20000000,2.5,8,300,0,0.01,0.0008,8,False
13,6000,30000000,2.5,8,300,0,0.01,0.0008,8,False
14,6000,40000000,2.5,8,300,0,0.01,0.0008,8,False
15,6000,50000000,2.5,8,300,0,0.01,0.0008,8,False
16,6000,20000000,2.5,8,300,0,0.008,0.0008,8,False
17,6000,30000000,2.5,8,300,0,0.008,0.0008,8,False
18,6000,40000000,2.5,8,300,0,0.008,0.0008,8,False
19,6000,50000000,2.5,8,300,0,0.008,0.0008,8,False
20,6000,20000000,2.5,8,300,0,0.004,0.0008,8,False
21,6000,30000000,2.5,8,300,0,0.004,0.0008,8,False
22,6000,40000000,2.5,8,300,0,0.004,0.0008,8,False
23,6000,50000000,2.5,8,300,0,0.004,0.0008,8,False
24,6000,20000000,2.5,8,300,0,0.01,0.0009,8,False
25,6000,30000000,2.5,8,300,0,0.01,0.0009,8,False
26,6000,40000000,2.5,8,300,0,0.01,0.0009,8,False
27,6000,50000000,2.5,8,300,0,0.01,0.0009,8,False
28,6000,20000000,2.5,8,300,0,0.008,0.0009,8,False
29,6000,30000000,2.5,8,300,0,0.008,0.0009,8,False
30,6000,40000000,2.5,8,300,0,0.008,0.0009,8,False
31,6000,50000000,2.5,8,300,0,0.008,0.0009,8,False
32,6000,20000000,2.5,8,300,0,0.004,0.0009,8,False
33,6000,30000000,2.5,8,300,0,0.004,0.0009,8,False
34,6000,40000000,2.5,8,300,0,0.004,0.0009,8,False
35,6000,50000000,2.5,8,300,0,0.004,0.0009,8,False
